-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906
hard,-6.83952742092023,-6.2098188705790305,-6.537519412208115,-6.107108544515616
rock,-6.939610879477212,-6.155751649308755,-6.957373257768379,-6.50300420160763
hotel,-3.7792566262286678,-3.590802291847218,-3.9170002035917677,-3.6987783944246657
chicago,-4.652941241789066,-3.985195319054697,-5.401519591468385,-4.402360452277191
favorite,-7.686825281307433,-7.228388451573604,-8.994255185029418,-8.448914350662942
ve,-6.939610879477212,-6.748815371311718,-6.509348535241418,-7.1679805052008785
stayed,-5.1049263655321235,-5.208370330364569,-5.593057803367263,-5.483641284593661
times,-7.804608316963817,-7.847427659979827,-6.691670092035373,-7.062619989543053
wonderful,-5.972026853215507,-5.69899324681304,-7.790282380703483,-8.448914350662942
experience,-6.418313955843926,-5.78600462380267,-6.221666462789638,-5.6516330158327905
guessed,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
super,-7.686825281307433,-8.18389989660104,-8.146957324642216,-8.448914350662942
roll,-8.497755497523762,-9.79333780903514,-7.895642896361309,-9.365205082537098
theme,-8.274611946209552,-9.79333780903514,-9.399720293137584,-9.365205082537098
music,-7.581464765649607,-7.847427659979827,-8.483429561263428,-8.448914350662942
paraphanelia,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
lobby,-6.033902256933595,-6.748815371311718,-5.830187596656213,-6.274162629178782
floor,-5.7569154735985615,-7.596113231698921,-5.84437223164817,-6.691056433110569
elevator,-7.581464765649607,-8.694725520367031,-6.627131570897802,-7.978910721417208
rooms,-5.2112210241817465,-5.092857443242725,-5.593057803367263,-5.453182077108952
large,-6.033902256933595,-7.3084311592471405,-7.202495715801364,-7.419294933481785
photo,-8.497755497523762,-9.79333780903514,-10.09286747369753,-10.058352263097044
murals,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
themed,-9.190902678083708,-9.100190628475195,-10.09286747369753,-10.058352263097044
musicians,-9.190902678083708,-9.100190628475195,-10.09286747369753,-8.959739974428933
request,-7.93813970958834,-9.100190628475195,-7.694972200899159,-7.660456990298673
band,-8.497755497523762,-9.100190628475195,-9.399720293137584,-8.959739974428933
kiss,-9.190902678083708,-9.79333780903514,-9.399720293137584,-10.058352263097044
aerosmith,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
great,-4.370621112478671,-4.796125535271026,-5.582007967180679,-6.474833324640933
well,-5.725166775283981,-5.823045895483019,-6.049816205862979,-6.344780196392736
appointed,-7.581464765649607,-8.40704344791525,-9.399720293137584,-10.058352263097044
comfortable,-5.453233059800339,-5.423889956568119,-6.797030607693199,-7.978910721417208
beds,-6.625953320622171,-6.155751649308755,-6.537519412208115,-6.839476438228843
luxurious,-7.804608316963817,-6.426041979048667,-8.994255185029418,-7.660456990298673
sheets,-8.497755497523762,-8.40704344791525,-7.320278751457748,-6.762515397092715
wonderous,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
pillows,-6.888317585089662,-7.3084311592471405,-7.384817272595319,-7.493402905635507
tv,-6.705996028295707,-6.8488988298687,-7.048345035974106,-7.493402905635507
cool,-7.4861545858452825,-7.490752716041095,-7.384817272595319,-9.365205082537098
sound,-7.804608316963817,-8.694725520367031,-7.895642896361309,-8.11244211404173
system,-8.497755497523762,-7.847427659979827,-7.694972200899159,-7.755767170102998
ramps,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
viewing,-8.785437569975544,-9.79333780903514,-10.09286747369753,-10.058352263097044
spacious,-6.0128488477357624,-6.327601906235414,-8.994255185029418,-8.959739974428933
desk,-5.773175994470342,-6.426041979048667,-5.264553736395228,-5.222070356145565
room,-4.066938698680449,-4.25994832030762,-3.8448245991890997,-3.6465339953871463
mini,-7.4861545858452825,-8.694725520367031,-7.45381014408227,-8.11244211404173
bar,-6.033902256933595,-6.748815371311718,-6.24271987198747,-6.800255725075561
